formalism;prep;Q1;Q1;Q1;Q2;Q2;Q2;Q3;Q3;Q3;Q4;Q4;Q4;Q5;Q5;Q5;Q6;Q6;Q6;Q7;Q7;Q7;Q8;Q8;Q8;Q9;Q9;Q9;Q10;Q10;Q10;Q11;Q11;Q11;Q12;Q12;Q12;Q13;Q13;Q13;Q14;Q14;Q14
rdfs;478296;66;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4052;1130;1134;6994;6287;6070;1;0;1;2;1;2;7;4;4;621;613;611;2;1;1;190;78;78;27680;26464;26550
owl-2-rl;1114078;4;1;2;1;1;0;0;0;1;1;1;1;1;0;1;4339;1086;1088;7572;7454;7720;1;1;1;2;1;2;9;5;5;790;799;776;1;1;1;213;93;93;32814;31462;28543
mskr_dr;141628;2;3;2;2;1;1;1;1;0;1;1;1;1;1;1;4031;1118;1118;8128;6232;6099;2;1;1;3;2;2;6;4;4;650;614;621;2;1;1;175;78;78;27164;26060;26105
mskr;102315;190;3;2;2;1;1;17;1;1;1;2;1;2;1;1;3973;1066;1064;8252;6558;5818;13;1;2;17;3;3;20;5;5;617;591;591;21;2;2;194;76;74;27970;26636;26522
rdfs-plus;618030;2;1;1;2;1;0;1;0;0;0;1;1;1;1;1;4011;1146;1113;7190;6306;6289;1;0;1;3;2;1;6;4;4;617;619;612;2;1;1;189;78;77;28306;26840;26530
