dataset;LUBM AssistantProfessor;LUBM AssociateProfessor;LUBM Course;LUBM Department;LUBM FullProfessor;LUBM GraduateCourse;LUBM GraduateStudent;LUBM Lecturer;LUBM Publication;LUBM ResearchAssistant;LUBM ResearchGroup;LUBM TeachingAssistant;LUBM UndergraduateStudent;LUBM University
Univ_100;88.93166666666667;112.38666666666666;235.045;3.5553333333333335;81.63633333333333;128.57000000000002;1531.1706666666666;52.266999999999996;5600.475333333333;456.04400000000004;53.25033333333334;365.57300000000004;3142.286666666667;1.611
Univ_1000;930.98;1189.4475;2356.9795;30.211;860.4105;1290.1264999999999;16667.065000000002;557.9945;60972.617;4889.3295;533.221;3893.132;32075.898999999998;1.6960000000000002
Univ_10000;9984.055;12570.08;24318.367;371.574;9062.603;13351.044;166704.065;6046.924;0.0;0.0;0.0;0.0;0.0;0.0
