formalism;query1;query2;query3;query4;query5;query6;query7;query8;query9;query10;query11;query12;query13;query13a;query14
rdfs;0.008433825336396694;6565.901640190433;0.026786102292438347;0.03883334233735999;0.028059278304378193;48.82954292309781;0.0435515435722967;0.4972161347977817;459.03829613716033;0.008823375372836987;0.009092427014062801;0.04826924360046784;0.03718340024352074;0.0;175.3320969453392
mskr;0.009608122830589613;1253.8344381772913;0.007695605357487996;0.017659279828270275;0.027870220908274252;37.08084537942583;0.01842175703495741;0.5071271673465768;420.1278306276848;0.01346833910793066;0.008662150241434574;0.011796355868379274;0.00871698542808493;0.0;116.60045645448069
rdfs_plus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
owl_2_rl;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
