formalism;query1;query2;query3;query4;query5;query6;query7;query8;query9;query10;query11;query12;query13;query13a;query14
rdfs;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mskr;0.03705204650759697;17844.503984641906;0.035977484503140054;0.0;0.6468236482081314;528.2756238807924;0.7681559352204204;1.359295261868586;28890.105111834593;0.043691001211603485;0.05911044248690208;0.0;0.021179956384003162;0.0;2113.1131469397806
rdfs_plus;0.0;4596.513899532612;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
owl_2_rl;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
